Barangay,City,Province,Postal Code,Barangay Code
Abnate,Kiblawan,Davao del Sur,8008,PH530501
Abo,Nagcarlan,Laguna,4002,PH191701
Abo,Tigaon,Camarines Sur,4420,PH243601
Abo-abo,Mauban,Quezon,4330,PH202001
Abo-abo,Murcia,Negros Occidental,6129,PH332001
Abo-abo,Sofronio Espanola,Palawan,5324,PH812401
Abogado,Paniqui,Tarlac,2307,PH151001
Abolo,Amulung,Cagayan,3505,PH060401
Abonagan,Malasiqui,Pangasinan,2421,PH042401
Abong,Carles,Iloilo,5019,PH321301
Abong-abong,Tabina,Zamboanga del Sur,7034,PH451801
Abong-Abong,Maluso,Basilan,7303,PH680301
Abongan,Taytay,Palawan,5312,PH812001
Abot Molina,Umingan,Pangasinan,2443,PH044401
Abra,Gattaran,Cagayan,3508,PH061301
Abra,Santiago City,Isabela,3311,PH073501
Abre,Dagami,Leyte,6515,PH401202
Abualan,San Juan,Abra,2514,PH622201
Abuanan,Bago City,Negros Occidental,6101,PH330201
Abucay,Piddig,Ilocos Norte,2912,PH011802
Abucay,Pilar,Sorsogon,4714,PH271202
Abucay (Pob.),Sulat,Eastern Samar,6815,PH39220J
Abucay Norte,Sikatuna,Bohol,6338,PH344101
Abucay Sur,Sikatuna,Bohol,6338,PH344102
Abucayan,Goa,Camarines Sur,4422,PH241501
Abucayan,Balamban,Cebu,6041,PH350801
Abucayan Norte,Calape,Bohol,6328,PH341001
Abucayan Sur,Calape,Bohol,6328,PH341002
Abugon,Sibonga,Cebu,6020,PH354601
Abulalas,Hagonoy,Bulacan,3002,PH120901
Abulan,Jones,Isabela,3313,PH071501
Abuleg,Dinalungan,Aurora,3206,PH100401
Abunda,Mabuhay,Zamboanga Sibugay,7010,PH460701
Abunda,Magsaysay,Misamis Oriental,9015,PH511701
Abung,San Juan,Batangas,4226,PH172301
Abuno,Iligan City,Lanao del Norte,9200,PH490401
Abuor,Narvacan,Ilocos Sur,2704,PH021401
Abut,San Fernando City,La Union,2500,PH031401
Abut,Quezon,Isabela,3324,PH072201
Abuyo,Alfonso Castaneda,Nueva Vizcaya,3714,PH081501
Abuyog,Sorsogon City,Sorsogon,4700,PH271501
Abuyogay,Javier,Leyte,6511,PH401901
Abuyogon,Burauen,Leyte,6516,PH400801
Abuyon,San Narciso,Quezon,4313,PH203601
Acaban,Culaba,Biliran,6547,PH380501
Acacia,Kayapa,Nueva Vizcaya,3708,PH081001
Acacia,Silang,Cavite,4118,PH18181C
Acacia,Davao City,Davao del Sur,8000,PH530201
Acacia,Malabon City,Metro Manila,1474,PH612101
Acacia (Pob.),Catarman (Capital),Northern Samar,6400,PH410515
Acad,Aurora,Zamboanga del Sur,7020,PH450101
Acao,Bauang,La Union,2501,PH030701
Acao,Cabatuan,Iloilo,5031,PH321101
Acasia,Maasin City,Southern Leyte,6600,PH43071X
Acbo,Sigma,Capiz,5816,PH301601
Accusilian,Tuao,Cagayan,3528,PH062801
Acedillo,Victoria,Northern Samar,6406,PH412301
Acedillo,Calbayog City,Samar,6710,PH420302
Acerida,Bobon,Northern Samar,6401,PH410301
Acevida,Siniloan,Laguna,4019,PH192901
Achasol,Titay,Zamboanga Sibugay,7003,PH461501
Achila,Ubay,Bohol,6315,PH344601
Aciga,Pinukpuk,Kalinga,3806,PH660401
Aclan,Nasipit,Agusan del Norte,8602,PH730901
Acle,Tuy,Batangas,4214,PH173401
Acli,Mexico,Pampanga,2021,PH141301
Acmac,Iligan City,Lanao del Norte,9200,PH490410
Acmonan,Tupi,South Cotabato,9505,PH591001
Acnam,Nueva Era,Ilocos Norte,2909,PH011401
Acocolao,Paniqui,Tarlac,2307,PH151002
Acop,Rosales,Pangasinan,2441,PH043101
Acosta Pob.,Batac City,Ilocos Norte,2906,PH01050M
Actin,Basay,Negros Oriental,6222,PH360501
Acuit,Barotac Nuevo,Iloilo,5007,PH320701
Acuna,Tapaz,Capiz,5814,PH301702
Ada,Tanauan,Leyte,6502,PH404001
Adams (Pob.),Adams,Ilocos Norte,2922,PH010101
Adante,Pinan,Zamboanga del Norte,7105,PH440901
Adaoag,Baggao,Cagayan,3506,PH060601
Adaoay,Kabayan,Benguet,2606,PH640701
Adaon,Datu Anggal Midtimbang,Maguindanao,9622,PH703001
Adapun-Ali,Baloi,Lanao del Norte,9217,PH490202
Adcadarao,Ajuy,Iloilo,5012,PH320101
Addalam,Jones,Isabela,3313,PH071502
Addition Hills,Mandaluyong City,Metro Manila,1550,PH611501
Addition Hills,San Juan City,Metro Manila,1500,PH611901
Adecor,Island Garden City of Samal,Davao del Norte,8119,PH520601
Adela,Poro,Cebu,6049,PH353801
Adela,Rizal,Occidental Mindoro,5103,PH790801
Adela Heights (Pob.),Gandara,Samar,6706,PH42071S
Adgao,Tubungan,Iloilo,5027,PH324301
Adia,Agoncillo,Batangas,4211,PH170101
Adia,Santa Maria,Laguna,4022,PH192701
Adia Bitaog,Gumaca,Quezon,4307,PH201301
Adiangao,San Jose,Camarines Sur,4423,PH243301
Adjid,Indanan,Sulu,7407,PH710101
Adlaon,Cebu City,Cebu,6000,PH351701
Adlas,Silang,Cavite,4118,PH181801
Adlawan,Roxas City,Capiz,5800,PH301401
Adlawan,Valencia,Bohol,6306,PH344701
Adlay,Carrascal,Surigao del Sur,8318,PH770701
Adnin,Languyan,Tawi Tawi,7509,PH72090C
Adorable,Jimenez,Misamis Occidental,7204,PH500701
Adovis (Pob.),Casiguran,Sorsogon,4702,PH270401
Adrialuna,Naujan,Oriental Mindoro,5204,PH800801
Adtuyon,Pangantucan,Bukidnon,8717,PH471601
Aduas,Paniqui,Tarlac,2307,PH151003
Aduas Centro,Cabanatuan City,Nueva Ecija,3100,PH130301
Aduas Norte,Cabanatuan City,Nueva Ecija,3100,PH13032B
Aduas Sur,Cabanatuan City,Nueva Ecija,3100,PH13032C
Aduyongan,Mayoyao,Ifugao,3602,PH650601
Adya,Lipa City,Batangas,4217,PH171401
Afga,Tangalan,Aklan,5612,PH281701
Afga,Sibagat,Agusan del Sur,8503,PH741401
Aflek,T'Boli,South Cotabato,9511,PH59090H
Afunan Cabayu,Camalaniugan,Cagayan,3510,PH061002
Afus,T'Boli,South Cotabato,9511,PH59090A
Afusing Bato,Alcala,Cagayan,3507,PH060202
Afusing Daga,Alcala,Cagayan,3507,PH060203
Ag-agrao,Santa Maria,Ilocos Sur,2440,PH022601
Ag-aguman,Tagudin,Ilocos Sur,2714,PH023301
Aga,Delfin Albano,Isabela,3326,PH071801
Aga,Nasugbu,Batangas,4231,PH171901
Aga,Pudtol,Apayao,3812,PH630601
Agaas,Caramoan,Camarines Sur,4429,PH241101
Agaga,Burgos,Ilocos Norte,2410,PH010602
Agagan,Maguing,Lanao del Sur,9715,PH693301
Agahay,Maribojoc,Bohol,6336,PH343202
Agaman,Baggao,Cagayan,3506,PH060602
Agaman Norte,Baggao,Cagayan,3506,PH06061C
Agaman Sur,Baggao,Cagayan,3506,PH06061D
Agambulong,Jamindan,Capiz,5808,PH300601
Agan-an,Sibulan,Negros Oriental,6201,PH362001
Aganan,Dao,Capiz,5810,PH300201
Aganan,Pavia,Iloilo,5001,PH323301
Agani,Alcala,Cagayan,3507,PH060204
Agao Pob.,Butuan City,Agusan del Norte,8600,PH730201
Agao-ao,Ragay,Camarines Sur,4410,PH243001
Agape,Loay,Bohol,6303,PH342801
Agape,Loboc,Bohol,6316,PH342901
Agapito del Rosario,Angeles City,Pampanga,2009,PH140101
"Agapito Yap, Sr.",Sapang Dalaga,Misamis Occidental,7212,PH50130E
Agas,Calubian,Leyte,6534,PH400902
Agat,Sison,Pangasinan,2434,PH044101
Agawa,Besao,Mountain Province,2618,PH670301
Agay-ay,San Juan,Southern Leyte,6611,PH431401
Agay-Ayan,Tinambac,Camarines Sur,4426,PH243701
Agay-ayan,Gingoog City,Misamis Oriental,9014,PH510801
Agba-o,Bingawan,Iloilo,5041,PH321001
Agbabadiang,Panitan,Capiz,5815,PH301001
Agbago,Ibajay,Aklan,5613,PH280601
Agbalanga,Moalboal,Cebu,6032,PH353301
Agbalo,Panay,Capiz,5801,PH300901
Agbalogo,Makato,Aklan,5611,PH281101
Agbaluto,Romblon (Capital),Romblon,5500,PH821001
Agban,Baras,Catanduanes,4803,PH250202
Agbanawan,Banga,Aklan,5601,PH280301
Agbanban,Panay,Capiz,5801,PH300902
Agbanga,Asturias,Cebu,6042,PH350601
Agbanga,Matalom,Leyte,6526,PH402701
Agbannawag,Rizal,Nueva Ecija,3127,PH132301
Agbannawag,Tabuk City,Kalinga,3800,PH660601
Agbanog,Pontevedra,Capiz,5802,PH301201
Agbatuan,Dumarao,Capiz,5812,PH300401
Agbatuan,Anilao,Iloilo,5009,PH320301
Agbobolo,Ajuy,Iloilo,5012,PH320102
Agboy,Candoni,Negros Occidental,6110,PH330601
Agboy Norte,Leon,Iloilo,5026,PH322601
Agboy Sur,Leon,Iloilo,5026,PH322602
Agbudia,Romblon (Capital),Romblon,5500,PH821003
Agbun-od,Jamindan,Capiz,5808,PH300602
Agcabugao,Cuartero,Capiz,5811,PH300101
Agcagay,Jamindan,Capiz,5808,PH300603
Agcalaga,Calinog,Iloilo,5040,PH321201
Agcano,Guimba,Nueva Ecija,3115,PH131101
Agcarope,Janiuay,Iloilo,5034,PH322202
Agcawilan,Lezo,Aklan,5605,PH280801
Agcococ,Tapaz,Capiz,5814,PH301703
Agcuyawan Calsada,Barotac Nuevo,Iloilo,5007,PH320702
Agcuyawan Pulo,Barotac Nuevo,Iloilo,5007,PH320703
Agdahon,Cuartero,Capiz,5811,PH300102
Agdahon,Passi City,Iloilo,5037,PH323201
Agdalipe,Pontevedra,Capiz,5802,PH301202
Agdaliran,San Dionisio,Iloilo,5015,PH323501
Agdangan Pob.,Baao,Camarines Sur,4432,PH240101
Agdao,Malasiqui,Pangasinan,2421,PH042402
Agdao,San Carlos City,Pangasinan,2420,PH043202
Agdao,Davao City,Davao del Sur,8000,PH530202
Agdayao,Passi City,Iloilo,5037,PH323202
Agdeppa,Bangar,La Union,2519,PH030601
Agdugayan,Ibajay,Aklan,5613,PH280602
Agdum,Miagao,Iloilo,5023,PH322801
Aggasi,Pagudpud,Ilocos Norte,2919,PH011501
Aggasian,Ilagan City,Isabela,3300,PH071402
Aggay,Bantay,Ilocos Sur,2727,PH020301
Aggub,Cabagan,Isabela,3328,PH070601
Aggub,Solano,Nueva Vizcaya,3709,PH081301
Aggugaddan,Penablanca,Cagayan,3502,PH061901
Agguirit,Amulung,Cagayan,3505,PH060402
Aggunetan,Lasam,Cagayan,3524,PH061701
Agkawayan,Looc,Occidental Mindoro,5111,PH790301
Agkilo,Panitan,Capiz,5815,PH301002
Aglahug,Jimalalud,Negros Oriental,6212,PH361201
Aglalana,Dumarao,Capiz,5812,PH300402
Aglalana,Passi City,Iloilo,5037,PH323203
Aglanot,Dumarao,Capiz,5812,PH300403
Aglao,San Marcelino,Zambales,2207,PH161101
Aglayan,Malaybalay City,Bukidnon,8700,PH471201
Agliam,San Manuel,Isabela,3317,PH073001
Aglibacao,Jamindan,Capiz,5808,PH300604
Aglibacao,Calinog,Iloilo,5040,PH321202
Aglimocon,Ma-Ayon,Capiz,5809,PH300701
Aglinab,Tapaz,Capiz,5814,PH301704
Aglipay,Pinili,Ilocos Norte,2905,PH011901
Aglipay,Rizal,Nueva Ecija,3127,PH132308
Aglipay (Pob.),Batac City,Ilocos Norte,2906,PH010501
Aglobong,Janiuay,Iloilo,5034,PH322203
Agloloway,Jamindan,Capiz,5808,PH300605
Aglonok,Calinog,Iloilo,5040,PH321203
Aglosong,Concepcion,Iloilo,5013,PH321401
Agloway,Panitan,Capiz,5815,PH301003
Aglucay,Makato,Aklan,5611,PH281102
Aglupacan,Tapaz,Capiz,5814,PH301705
Agmailig,Libacao,Aklan,5602,PH280901
Agmalobo,Ivisan,Capiz,5805,PH300501
Agmanaphao,Mina,Iloilo,5032,PH322902
Agmanic,Santa Fe,Romblon,5508,PH821501
Agnaga,Cuartero,Capiz,5811,PH300103
Agnaga,Concepcion,Iloilo,5013,PH321402
Agnaga,Romblon (Capital),Romblon,5500,PH821004
Agnas,Tabaco City,Albay,4511,PH221701
Agnay,Romblon (Capital),Romblon,5500,PH821005
Agnaya,Plaridel,Bulacan,3004,PH121701
Agnipa,Romblon (Capital),Romblon,5500,PH821006
Agno,Tayug,Pangasinan,2445,PH044301
Agnonoc,Ferrol,Romblon,5506,PH821601
Ago,Tubungan,Iloilo,5027,PH324302
Agoho,Calauag,Quezon,4318,PH200601
Agoho,Esperanza,Masbate,5407,PH260901
Agoho,Mambajao (Capital),Camiguin,9100,PH480401
Agojo,San Andres,Catanduanes,4810,PH250801
Agojo,Panay,Capiz,5801,PH300903
Agojo,Looc,Romblon,5507,PH820701
Agol,Pio Duran,Albay,4516,PH221301
Agong-ong,Buenavista,Agusan del Norte,8601,PH730102
Agos,Polangui,Albay,4506,PH221401
Agos,Bato,Camarines Sur,4435,PH240301
Agos,Gloria,Oriental Mindoro,5209,PH800602
Agos-agos,Infanta,Quezon,4336,PH201402
Agosais,Lagonoy,Camarines Sur,4425,PH241701
Agot,Boac (Capital),Marinduque,4900,PH780101
Agpalali,Tapaz,Capiz,5814,PH301706
Agpanabat,Romblon (Capital),Romblon,5500,PH821002
Agpangi,Calatrava,Negros Occidental,6126,PH330501
Agpangi,Naval (Capital),Biliran,6543,PH380801
Agpay,Burgos,La Union,2510,PH030801
Agpay,Guinobatan,Albay,4503,PH220401
Agpipili,Lemery,Iloilo,5043,PH322501
Agpo-Camagong-Tabog,Lagonoy,Camarines Sur,4425,PH241702
Agpudlos,San Andres,Romblon,5504,PH821201
Agricula,San Remigio,Antique,5714,PH291401
Agriculture,Midsayap,North Cotabato,9410,PH570901
AGROCEL Pob.,Maasin,Iloilo,5030,PH322703
Agrupacion,Ragay,Camarines Sur,4410,PH243002
Agrupacion,Santa Margarita,Samar,6709,PH421601
Agsabu,Esperanza,Agusan del Sur,8513,PH74030V
Agsalanan,Dingle,Iloilo,5035,PH321502
Agsalin,Gloria,Oriental Mindoro,5209,PH800601
Agsam,Oras,Eastern Samar,6818,PH391701
Agsam,Lanuza,Surigao del Sur,8314,PH771001
Agsaman,Jipapad,Eastern Samar,6819,PH391101
Agsanayan,Buenavista,Guimaras,5044,PH310101
Agsao,Magdiwang,Romblon,5511,PH820801
Agsilab,Sapi-An,Capiz,5806,PH301501
Agsing,Alimodian,Iloilo,5028,PH320202
Agsirab,Dumarao,Capiz,5812,PH300404
Agsirab,Lambunao,Iloilo,5042,PH322301
Agsoso,Loon,Bohol,6327,PH343001
Agsungot,Cebu City,Cebu,6000,PH351702
Agsuwao,Catmon,Cebu,6006,PH351601
Agta,Leon,Iloilo,5026,PH322603
Agtabo,Passi City,Iloilo,5037,PH323204
Agtambi,Dao,Capiz,5810,PH300202
Agtambo,Passi City,Iloilo,5037,PH323205
Agtangao,Bangued (Capital),Abra,2800,PH620101
Agtanguay,Dao,Capiz,5810,PH300203
Agtatacay,Dingle,Iloilo,5035,PH321503
Agtatacay Norte,Sapi-An,Capiz,5806,PH301502
Agtatacay Sur,Sapi-An,Capiz,5806,PH301503
Agtipal,Bacnotan,La Union,2515,PH030301
Agtiwa,San Fernando,Romblon,5513,PH821301
Agtongo,Romblon (Capital),Romblon,5500,PH821007
Agtugop,Asturias,Cebu,6042,PH350602
Agtuman,Lambunao,Iloilo,5042,PH322302
Aguada,Cataingan,Masbate,5405,PH260502
Aguada,Placer,Masbate,5408,PH261701
Aguada,Rosario,Northern Samar,6416,PH411601
Aguada,Isabela City,Basilan,7300,PH681301
Aguada (Pob.),Ozamiz City,Misamis Occidental,7200,PH501001
Aguada Norte,Magallanes,Sorsogon,4705,PH271001
Aguada Sur,Magallanes,Sorsogon,4705,PH271002
Aguadahan,Laoang,Northern Samar,6411,PH410802
Aguadahan,San Jose,Northern Samar,6402,PH411901
Aguado,Trece Martires City,Cavite,4109,PH182209
Aguas,Rizal,Occidental Mindoro,5103,PH790802
Aguet,Lagangilang,Abra,2802,PH621001
Aguho,Daanbantayan,Cebu,6013,PH352101
Aguho,Pateros,Metro Manila,1620,PH612901
Aguiauan,Miagao,Iloilo,5023,PH322802
Aguid,Sagada,Mountain Province,2619,PH670901
Aguiguican,Gattaran,Cagayan,3508,PH061302
Aguila,San Jose,Batangas,4227,PH172201
Aguila,Sebaste,Antique,5709,PH291502
Aguilar,San Lorenzo,Guimaras,5047,PH310401
Aguin,Capul,Northern Samar,6408,PH410401
Aguinaldo,Cordon,Isabela,3312,PH070901
Aguinaldo,Naguilian,Isabela,3302,PH072001
Aguinaldo,Santa Rosa,Nueva Ecija,3101,PH13280J
Aguinaldo,Bulan,Sorsogon,4706,PH270203
Aguinaldo,Iloilo City,Iloilo,5000,PH322102
Aguinaldo,Arteche,Eastern Samar,6822,PH390101
Aguinaldo,General Macarthur,Eastern Samar,6805,PH39070U
Aguinaldo,Catarman (Capital),Northern Samar,6400,PH410501
Aguinaldo,Macrohon,Southern Leyte,6601,PH430801
Aguinaldo,Naga,Zamboanga Sibugay,7004,PH460901
Aguinaldo,Laak,Davao de Oro,8810,PH560201
Aguinaldo,Esperanza,Agusan del Sur,8513,PH74030W
Aguing,Sinait,Ilocos Sur,2733,PH023001
Aguingay,Janiuay,Iloilo,5034,PH322204
Aguingayan,San Jose De Buan,Samar,6723,PH421401
Aguining,President Carlos P. Garcia,Bohol,6346,PH343501
Aguioas,Naguilian,La Union,2511,PH031101
Aguipo,Mabini,Bohol,6313,PH343103
Aguirre,Sara,Iloilo,5014,PH324101
Aguisan,Himamaylan City,Negros Occidental,6108,PH331001
Aguit-It,Vinzons,Camarines Norte,4603,PH231201
Aguit-itan (Pob.),Calbayog City,Samar,6710,PH42031Z
Aguitap,Solsona,Ilocos Norte,2910,PH012201
Aguiting,Kananga,Leyte,6531,PH402101
Agumaymayan,Boac (Capital),Marinduque,4900,PH780102
Agunod,Plaridel,Misamis Occidental,7209,PH501201
Agupalo Este,Lupao,Nueva Ecija,3122,PH131601
Agupalo Weste,Lupao,Nueva Ecija,3122,PH131602
Agus,Lapu-Lapu City,Cebu,6015,PH352601
Agus-us,Indang,Cavite,4122,PH181001
Agusan,Cagayan De Oro City,Misamis Oriental,9000,PH510501
Agusan Canyon,Manolo Fortich,Bukidnon,8703,PH471401
Agusan Pequeno,Butuan City,Agusan del Norte,8600,PH730202
Agusi,Camalaniugan,Cagayan,3510,PH061003
Agusipan,Badiangan,Iloilo,5033,PH320401
Agusipan,Santa Barbara,Iloilo,5002,PH324001
Aguso,Tarlac City,Tarlac,2300,PH151601
Agustin Navarra,Ivisan,Capiz,5805,PH300502
Agutay,Maripipi,Biliran,6546,PH380701
Agutay,Magdiwang,Romblon,5511,PH820802
Agutayan,Duenas,Iloilo,5038,PH321601
Agutayan,Santa Barbara,Iloilo,5002,PH324002
Agutayan,Hilongos,Leyte,6524,PH401401
Agutayan,Buug,Zamboanga Sibugay,7009,PH46020J
Agutayan,Balabac,Palawan,5307,PH810401
Agutayon,Jimalalud,Negros Oriental,6212,PH361202
Ahan,Guindulungan,Maguindanao,9628,PH702401
Ahin,Tinoc,Ifugao,3609,PH651001
Airport,Iloilo City,Iloilo,5000,PH322103
Airport,Ormoc City,Leyte,6541,PH40302M
Airport Village,Catarman (Capital),Northern Samar,6400,PH410502
Ajat (Pob.),Iguig,Cagayan,3504,PH061501
Ajong,Sibulan,Negros Oriental,6201,PH362002
Ajos,Catanauan,Quezon,4311,PH200801
Ajos,Mulanay,Quezon,4312,PH202101
Aklan Village,Diffun,Quirino,3401,PH09030X
Akle,San Ildefonso,Bulacan,3010,PH121901
Akol,Palimbang,Sultan Kudarat,9809,PH600901
Al-alinao Norte,Naguilian,La Union,2511,PH031102
Al-alinao Sur,Naguilian,La Union,2511,PH031103
Al-aludig,Santiago,Ilocos Sur,2707,PH022701
Ala,Esperanza,Sultan Kudarat,9806,PH600301
Ala-uli,Pilar,Bataan,2101,PH111101
Alab Oriente,Bontoc (Capital),Mountain Province,2616,PH670402
Alab Proper,Bontoc (Capital),Mountain Province,2616,PH670401
Alabang,Muntinlupa City,Metro Manila,1770,PH612601
Alabangpuro,Pio Duran,Albay,4516,PH221302
Alabiao,Tuao,Cagayan,3528,PH062802
Alabidhan,Bingawan,Iloilo,5041,PH321002
Alabug,Tuao,Cagayan,3528,PH062803
Alac,San Quintin,Pangasinan,2444,PH043701
Alacaak,Santa Cruz,Occidental Mindoro,5105,PH791101
Alacalian,Taytay,Palawan,5312,PH81200R
Alacan,Malasiqui,Pangasinan,2421,PH042403
Alacan,San Fabian,Pangasinan,2433,PH04330V
Alacaygan,Banate,Iloilo,5010,PH320601
Alacaygan,Enrique B. Magalona,Negros Occidental,6118,PH330801
Alad,Romblon (Capital),Romblon,5500,PH821008
Alae,Manolo Fortich,Bukidnon,8703,PH471402
Alag,Baco,Oriental Mindoro,5201,PH800101
Alagao,San Ildefonso,Bulacan,3010,PH121902
Alagao,Bauan,Batangas,4201,PH170601
Alagatan,Gingoog City,Misamis Oriental,9014,PH510802
Alaguia,Lal-Lo,Cagayan,3509,PH061602
Alaguisoc,Jordan (Capital),Guimaras,5045,PH310201
Alahag,Jaro,Leyte,6527,PH401801
Alalasan Lapuz,Iloilo City,Iloilo,5000,PH322104
Alalay Chica,Lupao,Nueva Ecija,3122,PH131603
Alalay Grande,Lupao,Nueva Ecija,3122,PH131604
Alalum,San Pascual,Batangas,4204,PH172601
Alamada,Sultan Kudarat,Maguindanao,9605,PH701101
Alambijud,Argao,Cebu,6021,PH350501
Alambique (Pob.),Gigaquit,Surigao del Norte,8409,PH760801
Alambre,Davao City,Davao del Sur,8000,PH530203
Alameda,Igbaras,Iloilo,5029,PH322001
Alaminos,Madalag,Aklan,5603,PH281001
Alang-alang,Mandaue City,Cebu,6014,PH353001
Alang-alang,Tabogon,Cebu,6009,PH354801
Alang-alang,Borongan City,Eastern Samar,6800,PH390401
Alang-alang,General Macarthur,Eastern Samar,6805,PH390701
Alang-alang,Oras,Eastern Samar,6818,PH391717
Alang-alang,Quinapondan,Eastern Samar,6810,PH39180N
Alang-alang,Lapinig,Northern Samar,6423,PH410901
